Date : 2021-03-08 19:59:24
Directory : /Users/jules/Documents/node/kiln-client
Total : 108 files,  26442 codes, 554 comments, 713 blanks, all 27709 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/jules/Documents/node/kiln-client/src/reducers/projectReducer.js                    | JavaScript |         29 |          0 |          4 |         33 |
| /Users/jules/Documents/node/kiln-client/src/reducers/segmentReducer.js                    | JavaScript |         32 |          0 |          4 |         36 |
| /Users/jules/Documents/node/kiln-client/src/root.js                                       | JavaScript |         15 |          3 |          3 |         21 |
| /Users/jules/Documents/node/kiln-client/src/serviceWorker.js                              | JavaScript |         98 |         31 |         13 |        142 |
| /Users/jules/Documents/node/kiln-client/src/setupTests.js                                 | JavaScript |          1 |          4 |          1 |          6 |
| /Users/jules/Documents/node/kiln-client/src/store.js                                      | JavaScript |          8 |          1 |          3 |         12 |
| /Users/jules/Documents/node/kiln-client/src/template_data.json                            | JSON       |        591 |          0 |          0 |        591 |
| /Users/jules/Documents/node/kiln-client/ui-debug.log                                      | Log        |          1 |          0 |          1 |          2 |
| Total                                                                                     |            |     26,442 |        554 |        713 |     27,709 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
