"filename", "language", "JSON with Comments", "Log", "Python", "Markdown", "JSON", "CSS", "JavaScript", "HTML", "TypeScript", "XML", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\micro\git\kiln-web\src\hooks\useFirebasePreferences.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseProject.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseProjects.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseSegment.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseSegments.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseTemplateFiring.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseTemplateFirings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseTemplateSegments.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseUserData.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\micro\git\kiln-web\src\hooks\useFirebaseUsers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\micro\git\kiln-web\src\hooks\useInterval.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 7, 25
"c:\Users\micro\git\kiln-web\src\hooks\usePending.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\micro\git\kiln-web\src\hooks\useSharedFirebaseFirings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\micro\git\kiln-web\src\hooks\useSharedFirebaseProject.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\micro\git\kiln-web\src\hooks\useSharedFirebaseSegments.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\micro\git\kiln-web\src\index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\micro\git\kiln-web\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\micro\git\kiln-web\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\micro\git\kiln-web\src\parseTemplateData.py", "Python", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 73
"c:\Users\micro\git\kiln-web\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
